종목명,ESG 통합등급,2021_E,2021_S,2021_G,평가연도
AJ네트웍스,B,D,B,B,2021
AK홀딩스,B+,B,B+,B+,2021
BGF,A,A,A+,A,2021
BGF리테일,A,A,A+,A,2021
BNK금융지주,A+,A,A+,A+,2021
BYC,B,D,B,B+,2021
CJ,A,B+,A+,A,2021
CJ CGV,A,B,A+,B+,2021
CJ대한통운,A,A,A+,A,2021
CJ씨푸드,B,C,B+,B+,2021
CJ제일제당,A,A,A+,A,2021
CS홀딩스,B,D,C,B+,2021
DB,B,D,B+,B+,2021
DB금융투자,B,D,B+,B,2021
DB손해보험,A,A,A+,B+,2021
DB하이텍,A,A,A,A,2021
DGB금융지주,A+,A,A+,A+,2021
DL,A,A+,A+,B+,2021
DL건설,B+,B+,A,B+,2021
DL이앤씨,-,-,-,-,2021
DN오토모티브,B,B,C,B+,2021
DRB동일,B+,B,B+,B+,2021
DSR,B,B,B,B,2021
DSR제강,C,C,C,B+,2021
E1,B+,B+,A,B+,2021
ESR켄달스퀘어리츠,-,-,-,-,2021
F&F,-,-,-,-,2021
F&F 홀딩스,B+,B+,A,B+,2021
GKL,B+,B+,B+,B+,2021
GS,A,A,A,A,2021
GS건설,A,A,A+,A,2021
GS글로벌,B+,B,B+,A,2021
GS리테일,A,A,A,A,2021
HDC,B+,B,B+,A,2021
HDC랩스,B,C,B,B+,2021
HDC현대EP,B+,B,B+,B+,2021
HDC현대산업개발,B,B,C,B+,2021
HD현대,A,A,A+,A,2021
HJ중공업,B,C,B,B+,2021
HL D&I,B+,B+,B+,B+,2021
HLB글로벌,C,D,C,B,2021
HL만도,A,B+,A+,A,2021
HL홀딩스,A,B,A+,A,2021
HMM,A,A,A+,A,2021
HSD엔진,A,B+,A,A,2021
JB금융지주,A+,A,A+,A+,2021
JW생명과학,B,B,B+,B,2021
JW중외제약,B,C,B+,B+,2021
JW홀딩스,B,D,B+,B+,2021
KB금융,A+,A+,A+,A+,2021
KC그린홀딩스,B,D,C,B+,2021
KC코트렐,C,D,C,B+,2021
KEC,B,B,B+,B,2021
KG스틸,B,B+,B,B,2021
KG케미칼,C,C,C,B,2021
KH 필룩스,C,C,B,C,2021
KISCO홀딩스,B,B,B,B,2021
KPX케미칼,C,B,C,C,2021
KPX홀딩스,B,B,C,B+,2021
KR모터스,C,D,C,B,2021
KSS해운,A,B+,A+,A,2021
KTcs,A,B+,A,A,2021
KTis,A,B+,A+,A,2021
LF,B,D,B,B+,2021
LG,A,A,A+,A,2021
LG디스플레이,B+,B,A,B+,2021
LG생활건강,A,A,A+,A,2021
LG에너지솔루션,-,-,-,-,2021
LG유플러스,A,A,A+,A,2021
LG이노텍,A,A,A+,A,2021
LG전자,A,A,A+,A,2021
LG헬로비전,B+,C,A,A,2021
LG화학,B+,B+,A,B+,2021
LIG넥스원,A,A,A+,A,2021
LS,A,B+,A+,B+,2021
LS네트웍스,C,D,C,B,2021
LS전선아시아,B,D,C,B+,2021
LX세미콘,B+,B,B+,B+,2021
LX인터내셔널,A,A,A+,A,2021
LX하우시스,A,A,A+,A,2021
LX홀딩스,-,-,-,-,2021
MH에탄올,B,B,D,B+,2021
NAVER,A+,A,A,A+,2021
NH투자증권,A,A,A+,A,2021
NICE,B+,B,A,B+,2021
NI스틸,C,D,C,B,2021
OCI,A,B+,A+,A,2021
PI첨단소재,B+,B+,B,B+,2021
POSCO홀딩스,A,A,B+,A+,2021
S-Oil,A,B+,A+,A+,2021
SBS,B,D,B+,B+,2021
SGC에너지,B+,B+,A,B+,2021
SG글로벌,C,C,C,C,2021
SG세계물산,C,D,B,C,2021
SHD,C,D,C,B,2021
SH에너지화학,B,B,D,B+,2021
SIMPAC,B,B,B,B,2021
SK,A+,A+,A+,A+,2021
SKC,A,A,A+,B+,2021
SK가스,A,A,A+,A,2021
SK네트웍스,A,B+,A+,A,2021
SK디스커버리,A,A,A+,A,2021
SK디앤디,A,A,A+,A,2021
SK렌터카,A,B+,A+,B+,2021
SK바이오사이언스,-,-,-,-,2021
SK스퀘어,-,-,-,-,2021
SK아이이테크놀로지,-,-,-,-,2021
SK이노베이션,A+,A,A+,A+,2021
SK증권,B+,C,A,B+,2021
SK케미칼,A,A,A+,A,2021
SK텔레콤,A,A,A+,A,2021
SK하이닉스,A,B+,A+,A,2021
SNT다이내믹스,B,B,C,B,2021
SNT모티브,B,C,B,B+,2021
SNT에너지,B,B,B,B,2021
SNT홀딩스,B+,B,B,B+,2021
SPC삼립,B+,B,A,B+,2021
STX,B,D,B,B+,2021
STX엔진,B+,B,B,B+,2021
STX중공업,B,C,B,B+,2021
SUN&L,B+,B,B,B+,2021
TCC스틸,B,B,C,B,2021
TYM,A,B+,A+,B+,2021
WISCOM,C,C,C,B+,2021
YG PLUS,C,D,C,B,2021
가온전선,B+,B,B+,B+,2021
강남제비스코,B,B,B,B+,2021
강원랜드,A,B+,A,A,2021
갤럭시아에스엠,C,D,D,B,2021
경농,B,B,B,B,2021
경동나비엔,B+,B+,B+,B+,2021
경동도시가스,A,B+,A,A,2021
경동인베스트,B+,B+,A,B+,2021
경방,C,C,C,B+,2021
경보제약,B+,B+,A,B+,2021
경인양행,C,C,B,B,2021
경인전자,C,D,C,B,2021
계룡건설산업,C,D,D,B+,2021
계양전기,B,B,B+,B,2021
고려산업,C,C,D,B,2021
고려아연,B,B+,C,B+,2021
고려제강,B+,B+,B,B+,2021
광동제약,B,C,B+,B+,2021
광명전기,C,C,D,B,2021
광전자,B,C,B,B+,2021
광주신세계,A,B+,A,A,2021
교보증권,B,D,B+,B,2021
교촌에프앤비,-,-,-,-,2021
국도화학,B,B,C,B+,2021
국동,B,D,B,B+,2021
국보,D,D,D,C,2021
국제약품,B,D,B,B+,2021
그린케미칼,B,B,C,B,2021
극동유화,B,B,C,B,2021
금강공업,C,C,C,B+,2021
금비,C,C,C,B,2021
금양,C,D,C,B+,2021
금호건설,C,C,D,C,2021
금호석유화학,B+,B,A,A,2021
금호에이치티,C,C,C,B,2021
금호전기,B,C,B,B+,2021
금호타이어,B+,B+,A,B+,2021
기신정기,C,D,C,B,2021
기아,A+,A+,A+,A,2021
기업은행,A,A,A+,A,2021
까뮤이앤씨,C,D,C,B+,2021
깨끗한나라,B,B+,B,B,2021
남광토건,C,D,C,B,2021
남선알미늄,C,C,B,B,2021
남성,C,D,C,B,2021
남양유업,B+,B+,B+,B+,2021
남해화학,B,C,B,B+,2021
넥센,B+,B+,A,B,2021
넥센타이어,B+,B+,A,B+,2021
넷마블,B+,D,B+,A,2021
노루페인트,A,A,A+,B+,2021
노루홀딩스,A,A,A+,B+,2021
녹십자,B+,B+,B+,B+,2021
녹십자홀딩스,B+,B+,B+,B+,2021
농심,B+,B,A,B,2021
농심홀딩스,B+,B,A,B+,2021
다스코,B,B,C,B+,2021
다올투자증권,B+,C,A,B+,2021
다우기술,B+,B,A,B+,2021
다이나믹디자인,C,C,C,C,2021
대교,B+,D,B+,A,2021
대구백화점,B,D,B+,B+,2021
대덕,A,B+,A,A,2021
대덕전자,-,-,-,-,2021
대동,B+,B,B,B+,2021
대동전자,C,C,C,B+,2021
대림비앤코,C,C,C,B+,2021
대림통상,C,C,C,C,2021
대상,A,A,A+,B+,2021
대상홀딩스,A,A,A+,B+,2021
대성산업,C,C,C,B+,2021
대성에너지,B,B,B,B,2021
대성홀딩스,B,C,B+,B,2021
대신증권,A,B,A+,A,2021
대양금속,C,C,C,B,2021
대영포장,C,C,C,C,2021
대우건설,A,B+,A,A,2021
대우부품,C,C,C,B,2021
대우조선해양,A,B,A+,A,2021
대웅,B,D,B+,B,2021
대웅제약,C,D,B,B,2021
대원강업,B,B,C,B+,2021
대원전선,C,C,C,B,2021
대원제약,B,D,B,B+,2021
대원화성,B,B,B,B+,2021
대유에이텍,C,C,C,B,2021
대유플러스,C,C,C,C,2021
대창,C,B,B,C,2021
대창단조,B,B,C,B+,2021
대한방직,C,C,C,B+,2021
대한유화,B,B,B,B+,2021
대한전선,A,A,A+,A,2021
대한제강,B,B,B,B,2021
대한제당,B,B,C,B+,2021
대한제분,B,C,C,B+,2021
대한항공,A,A,A+,A,2021
대한해운,B,D,B,B+,2021
대한화섬,B+,B,B+,B+,2021
대현,B,D,B,B+,2021
대호에이엘,B,B,C,B,2021
더블유게임즈,B,D,B+,B+,2021
더존비즈온,B,C,B,B,2021
덕성,C,C,C,B+,2021
덕양산업,C,C,C,B,2021
덴티움,B,D,B,B+,2021
도화엔지니어링,B+,B,B,B+,2021
동국제강,B+,B+,B,B+,2021
동남합성,C,D,C,B,2021
동방,C,B,D,B,2021
동방아그로,C,D,C,B+,2021
동부건설,C,C,D,B+,2021
동서,C,D,C,B,2021
동성제약,C,D,C,B+,2021
동성케미컬,B+,B,B+,B+,2021
동아쏘시오홀딩스,A,B+,A+,A,2021
동아에스티,A,B+,A+,A,2021
동아지질,C,D,D,B,2021
동아타이어,C,D,C,B+,2021
동양,C,C,C,B+,2021
동양고속,B,C,C,B+,2021
동양생명,B+,C,A,B+,2021
동양철관,C,D,D,B,2021
동양피스톤,B,B,C,B+,2021
동원F&B,B+,B,A,B,2021
동원금속,C,D,C,B+,2021
동원산업,B,C,B+,B+,2021
동원수산,C,D,C,B+,2021
동원시스템즈,B,C,B+,B,2021
동일고무벨트,B+,B,B+,B+,2021
동일산업,B,B,C,B+,2021
동일제강,C,C,C,B,2021
동화약품,B,D,B+,B,2021
두산,A,A,A+,B+,2021
두산밥캣,B+,C,A,A,2021
두산에너빌리티,A,A+,A,B+,2021
두산퓨얼셀,B+,B,A,A,2021
두올,B,C,B,B+,2021
